Name,Medicine_Name,Alias,English_Name,Medicinal_Part,Source,Morphology,Distribution,Processing,Properties,Type,Effect,Usage,Constituent,Formula,Pharmacology,Taboo
龙眼肉,龙眼肉 longyanrou,龙眼、元眼肉、桂圆、龙眼干。,Longan Arillus。,无患子科植物龙眼Dimocarpus longan Lour.的假种皮。,,常绿乔木。幼枝被锈色柔毛。双数羽状复叶，互生；小叶2～5对，通常互生，革质，椭圆形至卵状披针形，先端短尖或钝，基部偏斜，全缘或波浪形，暗绿色，嫩时褐色，下面通常粉绿色。花两性，或单性花与两性花共存；为顶生或腋生的圆锥花序；花小，黄白色，被锈色星状小柔毛；花萼5深裂，裂片卵形；花瓣5，匙形，里面有毛；雄蕊通常8；子房2～3室，柱头2裂。核果球形，外皮黄褐色，粗糙，假种皮白色肉质，内有黑褐色种子l颗。花期3～4月，果期7～9月。,适宜生长于热带和亚热带气候。多栽培于丘陵地和园圃。主产于福建、台湾等地。,7～9月果实成熟时采摘，烘干或晒干，取肉去核，晒至干爽不粘。或将采收的果实，去果皮及核，果肉直接晒干。,不规则块片或圆筒块片，常相互粘结成团，片长1～1.5厘米，宽1～4厘米，厚约1毫米。棕褐色，半透明，外面(靠果皮的一面)皱缩不平，内面(紧贴种子的一面)光亮，有细纵皱纹。质柔润，有黏性。气微香，味甚甜。,性温，味甘。归心经、脾经。,补益心脾、养血安神。属补虚药下属分类的补气药。,用量10～15克，煎汤内服；或熬膏；或浸酒；或入丸、散。用治心脾虚损之心悸、健忘、泄泻、水肿等；气血不足而致失眠、崩漏、经行眩晕；肺阴亏虚、肺失润降而致干咳、痰少黏白、声音嘶哑、口干咽燥等。临床用于滋补、内耳眩晕、消化系统疾病及冠心病等。,含葡萄糖26.91%，含酒石酸、蔗糖、脂肪、酸类、胆碱等成分。另含多种维生素。,①治思虑过度，劳伤心脾，健忘，怔仲：白术、茯神(去木)、黄芪(去芦)、龙眼肉、酸枣仁(炒去壳)各30克，人参、木香(不见火)各15克，甘草(炙)7.5克，上口咀。每服12克，水一盏半，生姜五片，枣二枚，煎七分，去滓温服，不拘时。(《济生方》归脾汤),抑菌；镇静和健胃；抗疲劳。提取液能抑制小鼠脑(肝)的MAO-B活性，有抗衰老作用；水提液在试管内对奥杜盎氏小芽孢癣菌有抑制作用；水煎液对痢疾杆菌有抑制作用。,脾胃有痰火及湿滞停饮、消化不良、恶心呕吐者忌服。孕妇，尤其妊娠早期，则不宜服用龙眼肉，以防胎动及早产等。此外，因其葡萄糖含量较高，故糖尿病患者不宜多服。
龙涎香,龙涎香 longxianxiang,龙腹香、鲸涎香、龙漦、龙泄。,Ambergris。,来源于抹香鲸科动物抹香鲸Physeter catodon Linnaeus的肠内病理分泌物。,,齿鲸类中最大的一种。一般体长14米左右，最大者可达23米。雌雄个体差异大，雌者仅雄者之半。头部庞大，占体长1/4～1/3，前端截形。吻向前突出于下颌1.5米。额部巨大，内有特殊脂肪体，或称鲸蜡器官。外鼻孔1个，位于头顶左侧前缘。眼位于口角的后方。外耳孔极小。上颌具无功能性的痕迹齿；下颌狭窄，每侧具25～30枚圆锥形细齿。鳍肢较小，宽而圆，无背鳍，但具少数肉峰，尾鳍较宽。体背暗黑色，体侧略淡，腹面银灰色或白色。,生活于世界各大洋中，喜活动于热带和亚热带温暖海洋。我国分布于黄海、东海和南海，尤以台湾海域最多。,捕杀抹香鲸时在肠中取出分泌物。抹香鲸有时把肠内分泌物排出海上，或老鲸死后遗于海洋上，故又可在海洋上捞得。,不规则块状，大小不一。表面灰褐色、棕褐色或黑棕色，常附着有颜色深浅相间的不规则弧形层纹和白色点状或片状斑。少数呈灰褐色的可见墨鱼嘴样角质物嵌于其中。质轻而脆，断面外表层为黑灰色，内层为黑色、灰白色与灰黄色相间。嚼之如蜡，有粘牙感。微具特殊香气和微腥气。,性温，味甘、酸、涩。归心经、肝经、肺经、肾经。,行气活血、止咳化痰、消积利水。属理气药。,用量0.3~1克，研末服。用治咳嗽、胸闷、癥瘕积聚、心腹疼痛、神昏、淋证。,约含25%龙涎香醇以及二氢-γ-紫罗兰酮、α-龙涎香八氢萘醇、龙涎香醛、γ-环高香叶氯代物、降龙涎醚醇等，还含粪甾醇、表粪甾醇、胆固醇。,治温邪内陷心包：犀角粉1克，羚羊角粉1克，麝香0.3克，牛黄0.3克，冰片0.3克，龙涎香0.3克，珍珠粉0.3克，琥珀3克，朱砂3克，薄荷冰0.15克。(《湿病刍言》回苏散),实验表明，小量对动物中枢神经系统有兴奋作用，大量则表现抑制；对离体心脏有强心作用，对整体动物则引起血压下降,孕妇忌用。
龙脷叶,龙脷叶 longliye,龙利叶、龙舌叶、龙味叶。,Sauropi Folium。,大戟科植物龙利叶Sauropus rostratus Miq.的叶。,,常绿小灌木。枝多少扭曲，下部斜倚。单叶互生，稍肉质，倒披针状匙形或长圆状匙形，顶端圆，基部楔尖或渐狭，上面深绿色或淡蓝绿色，中脉和侧脉附近常为苍白色。花紫红色，很小，单性，雌雄同株，雄花几朵簇生或组成腋生聚伞花序，雌花1～2朵常生于叶腋；雄花的花萼盘状，有雄蕊3枚；雌花的花萼陀螺状，子房3室，每室有2胚珠；雄花和雌花均无花瓣。蒴果大如豌豆，扁球形，外有宿萼包被。,常见栽培于园圃和庭院中。原产于苏门答腊。广东、广西、云南、福建、海南等地均有栽种，以广东、广西栽培最多。,4～10月采收，以6～8月为盛产期。每隔15～20天采摘青绿色老叶1次，每株每次从上而下摘取3～4片叶，阴干(不宜直接曝晒，否则叶片色黄质次)；或阴干至七八成干时，将叶片叠齐捆成小扎，用蒲席遮盖，晒至足干。,呈团状或长条状皱缩，展平后长卵形、卵状披针形或倒卵状披针形，如舌状，先端圆钝稍内凹而有小尖刺，基部窄呈楔形或稍圆，全缘，叶面深绿色，常有灰白色花斑，叶背黄绿色，中脉突出，基部偶见柔毛，侧脉羽状，5～6对，近外缘合拢。硬纸质，稍厚。气微，味淡微甘。,性平，味甘、淡。归肺经、胃经。,润肺止咳、通便。属化痰止咳平喘药下分类的止咳平喘药。,用量10～15克，煎服。用治肺燥咳嗽、咽痛失音。,含甾类化合物、氨基酸、多肽及蛋白质等成分。,①治痰火咳嗽：以龙脷叶和猪肉煎汤服之。(《岭南采药录》),龙脷叶提取物对急、慢性炎症均有明显的拮抗作用，且有外周性镇痛作用，但无中枢性镇痛作用；对金黄色葡萄球菌、金黄色葡萄球菌耐药株、大肠杆菌、绿脓杆菌、甲型溶血性链球菌和乙型溶血性链球菌均有较强的抑菌作用。,尚不明确。
龙葵,龙葵 longkui,苦葵、天茄子、山海椒、苦菜、老鸦眼睛草、天茄苗儿、天天茄、救儿草、后红子、水茄、天泡草、老鸦酸浆草、天泡果。,Herba Solani Nigri。,来源于茄科植物龙葵Solanum nigrum L.的全草。,,一年生草本，根圆锥形，淡黄色。茎直立，叶互生，叶片卵形或近菱形，先端渐尖或钝尖，基部宽楔形，下延至叶柄，全缘或有疏波状齿，无毛或被疏毛。伞形聚伞花序腋生，花冠白色，钟形，5裂，雄蕊5，花药顶端2孔开裂，子房2室，花柱长。浆果球形，熟时紫黑色，基部有宿萼。花期6～7月。,生于田边、荒地。全国各地均有分布。,夏、秋季采收，晒干。生用或鲜用。,茎呈圆柱形，多分枝，长20～60厘米或过之，直径0.2～1厘米，绿色或黄绿色，有槽状纵皱；质脆而硬，断面黄白色，中空。叶卷缩或破碎，完整者卵形，长2.5～10厘米，宽1.5～5.5厘米，暗绿色，两面光滑或疏被短柔毛。聚伞花序蝎尾状，腋外生，有花4～10朵，但多已脱落；花萼杯状，棕褐色；花冠棕黄色。浆果球形，直径约6～8毫米，成熟时棕黑色，皱缩。种子多数，棕色。气微，味淡。,性寒，味苦，有小毒。归膀胱经。,清热解毒、利水消肿、凉血止血。属清热药下属分类的清热解毒药。,煎汤内服，用量9～30克，外用适量，捣敷。用治热毒痈肿疔疖、小便不利、血热吐血、崩漏及多种癌症，如子宫颈癌、食管癌、膀胱癌、鼻咽癌、肝癌等。,龙葵地上部分含生物碱类：澳洲茄碱，澳洲茄边碱，β-澳洲茄边碱。橙色果实中含α-胡萝止素，果实中还含有植物凝集素，又含生物碱类、皂苷类。全草另含甾体皂苷：龙葵素Ⅰ和Ⅱ，还含：α-澳洲茄边碱，去半乳糖替告皂苷等。种子油中含有胆甾醇。根茎含龙葵皂苷A、B，龙葵螺苷A、B。叶中含黄酮苷类。此外，还含有水溶性多糖SNL-1、SNL-2、SNL-3、SNL-4、23-0-乙酰基-12β-羟基澳洲茄胺。,①治一切发背痈疽恶疮：用虾蟆一个，同老鸦眼睛藤叶捣敷。（《纲目》引《袖珍方》）,煎剂对金黄色葡萄球菌及痢疾、伤寒、大肠、绿脓、变形等杆菌有一定的抑制作用；其提取物对动物有抗炎作用，所含澳洲茄碱、龙葵碱有升高血糖的作用，对平滑肌有兴奋作用；果有镇咳、祛痰作用。龙葵所含生物碱毒性较大，其未成熟果实中含量最多，误食未成熟果实可致中毒。中毒时可出现：头痛、腹痛、呕吐、腹泻、瞳孔散大、心跳先快后慢、精神错乱，甚至昏迷。中毒时可即给予浓茶水洗胃，以后按发芽马铃薯中毒抢救办法给予对症处理。,脾胃虚弱者、孕妇忌服。
龙骨,龙骨 longgu,五花龙骨。,Os Draconis。,古代哺乳动物象类、犀类、三趾马、牛类、鹿类等的骨骼化石或象类门齿的化石。,,由磷灰石、方解石及少量黏土矿物组成。磷灰石为六方晶系隐晶质，依古代生物骨骼产出。疏松集合体中或有呈现晶体形小棒状的磷灰石 ，灰白色。略带油脂状，土状光泽或瓷状光泽。硬度大于指甲，小于小刀。方解石的晶体结构属三方晶系。晶体为菱面体，也有呈现柱状及板状者。常以钟乳状或致密粒状集体产出。断口贝壳状，硬度3，性脆。,多产于山西、内蒙古、河北、河南、湖北、四川、陕西、甘肃等地。,挖出后，除去泥土及杂质。五花龙骨质酥脆，出土后，露置空气中极易破碎，常用毛边纸粘贴。,1.龙骨：又称白龙骨。呈骨骼状或不规则块状。表面白色、灰白色或黄白色至淡棕色，多较平滑，有的具纵纹裂隙或具棕色条纹与斑点。质硬，砸碎后，断面不平坦，色白或黄白，有的中空。关节处膨大，断面有蜂窝状小孔。吸湿力强，舔之吸舌。无臭，无味。以质硬、色白、吸湿力强者为佳。,性平，味涩、甘。归心经、肝经、肾经、大肠经。,镇心安神，平肝潜阳，固涩，收敛。属平肝息风药下分类的平抑肝阳药。,内服：煎汤，10～15克，打碎先煎；或入丸、散。外用：适量，研末撒；或调敷。安神、平肝宜生用，收涩、敛疮宜煅用。主治心悸怔忡，失眠健忘，惊痫癫狂，头晕目眩，自汗盗汗，遗精遗尿，崩漏带下，久泻久痢，溃疡久不收口及湿疮。,主要成分为碳酸钙、磷酸钙等物质。,①治好忘：龙骨、虎骨、远志各等分。上三味治下筛。食后服2g，日二。久服聪明益智。(《千金要方》),有一定的镇静作用，增加戊巴比妥钠催眠率；还可缩短小鼠的凝血时间。,湿热积滞者慎服。
龙胆,龙胆 longdan,胆草、地胆草、龙胆草、四叶胆、草龙胆。,Gentianae Radix Et Rhizoma。,,龙胆科植物龙胆Gentiana scabra Bge.、条叶龙胆Gentiana manshurica Kitag.、三花龙胆Gentiana triflora Pall.或滇龙胆Gentiana rigescens Franch.的根或根茎。,多年生草本，全株通常绿色稍带紫色。根茎短，密生多数黄白色具横皱纹的根。茎直立，粗壮，单一。叶对生，无柄，基部稍抱茎，中部叶较大，卵形或卵状披针形，边缘及叶腋粗糙，具3条明显的主脉。花丛生于茎端或叶腋，花冠管筒状钟形，鲜蓝色或深蓝色，裂片间褶三角形，长为花冠的1/2，先端渐尖，稀具2齿。蒴果。,生于草甸子、灌丛中。分布于黑龙江、吉林、辽宁、内蒙古等地。,春、秋两季均可采挖根及根茎，以秋季采者质量较好。除去泥土杂质，晒干，或切段后干燥备用。,根茎呈不规则块状，长0.5～3厘米，直径0.5～1厘米；表面灰棕色或深棕色，上端有多个茎痕或残留茎基，周围和下端丛生多数细长的根。根圆柱形，略扭曲，长10～20厘米，直径2～4毫米；表面淡黄色或黄棕色，上部多细密的横皱纹，下部有纵皱纹及细根痕。质脆，易吸潮变软；断面略平坦，黄棕色，木部呈黄白色点状，环列，髓明显。气微，味极苦。,性寒，味苦。归肝经、胆经。,清肝火、除湿热、健胃。属清热药下分类的清热泻火药。,用量2.5～4.5克，治疗目赤头晕、耳聋耳肿、胁痛口苦、咽喉肿痛、惊痫抽搐、湿热疮毒、湿疹、阴肿、阴痒、小便淋痛、食欲不振。龙胆有保肝、利胆、健胃、抗炎及免疫、抗甲亢、抗菌、镇痛镇静等药理作用。,含龙胆苦苷、当药苷、艽碱丙、山柰酚、当药苦苷、痕量苦当药酯苷、龙胆碱及龙胆黄碱。条叶龙胆含三花龙胆苷、阿魏酸、水杨酸、龙胆苦苷和獐牙菜苦苷。,①治急性黄疸型传染性肝炎：龙胆、茵陈各12克，郁金、黄柏各5克。水煎服。(《青岛中草药手册》),具有保肝、利胆、抗炎、抗过敏、镇静、降低体温、抗惊厥、镇痛作用、抗病原体、驱蛔虫、降血压、利尿、健胃、兴奋小肠、使骨骼肌松弛等作用。,脾胃虚弱及阳虚无火者禁服。
龙齿,龙齿 longchi,龙牙、青龙齿、齿化石。,Dens Draconis,,古代哺乳动物如象类、犀牛类、三趾马等的牙齿化石。,,分布于山西、内蒙古、河南、四川、陕西、甘肃、青海等地。主产于山西、河南、陕西三省交界处黄河两岸地区，以山西产量最多。,全年均可采挖，从动物化石中拣出牙齿或敲掉牙床即可。,齿状或破碎成不规则块状。完整者可分犬齿和臼齿。犬齿呈圆锥形，略弯曲，先端断面中空。臼齿呈圆柱形或方柱形，略弯曲，一端较细，有深浅不同的棱。其中青灰色或暗棕色者，习称“青龙齿”，呈黄白色者，习称“白龙齿”，有的表面具有光泽的珐琅质。质坚硬，断面粗糙，凹凸不平或有不规则的凸起棱线。具吸湿性。无臭，无味。,性凉，味甘、涩。归心经、肝经。,镇静安神、清热除烦。属安神药下属分类的重镇安神药。,用量10~15克，打碎先煎，或人丸、散；外用适量，研末撒或调敷。用治惊痫、癫狂、心悸怔忡、身热心烦、失眠多梦。,主含碳酸钙、磷酸钙，尚含少量铁、钾、钠等。本品具有中枢镇静作用，能降低小鼠脑组织中多巴胺和高香草酸水平，使中枢神经镇静。,,,得人参、牛黄良。畏石膏。
六月寒,六月寒 liuyuehan,大风寒草、红花野芝麻，路边梢、化骨丹、野芝麻，野薄荷，蜂子草，山卷莲，野荆芥、黄刺泡,Caryopteris Herba。,马鞭草科马鞭草属植物三花莸Caryopteris terniflora Maxim.的全草。,,直立亚灌木，高15～70厘米。常自基部分枝，枝四方形，密生灰白色向下弯曲的柔毛。单叶对生；叶柄长0.2～1.5厘米；叶片纸质，卵形至长卵形，长1.5～4厘米，宽1～3厘米，先端渐尖，基部阔楔形，边缘具规则锯齿，两面均被柔毛和腺点，背面尤密集。聚伞花序腋生，花序梗通常3花，偶为1或5花；花柄具锥形细小苞片；花萼钟状，5裂，裂片披针形，两面均被柔毛和腺点；花冠紫红色至淡红色，先端5裂，二唇形，裂片全缘，下唇中裂片较大，圆形，外面被疏柔毛和腺点；雄蕊4，与花柱均伸出花冠管外；子房先端被柔毛。蒴果成熟后四瓣裂，果瓣倒卵状舟形，表面密被糙毛及凹凸网纹。花、果期6～9月。,生于海拔550～2600米的山坡、平地、水沟边及河边。分布于河北、山西、江西、湖北、四川、云南、陕西、甘肃等地。,7～8月采收，洗净，晒干或鲜用。,六月寒药材茎被白色柔毛，嫩枝四棱形。叶对生。宽卵形，长约3厘米，宽约2.5厘米，边缘有粗锯齿，被白色柔毛，叶柄长约7毫米。聚伞花序腋生，花萼钟状，花冠淡紫红色，5裂，左右对称，上面4裂片相等，最下1片较大，且具紫红色斑点。以新鲜、茎叶多而质嫩者为佳。,性平，味辛、微苦。归肺经。,疏风解表，宣肺止咳。属解表药下分类的辛温解表药。,内服：煎汤，用量10～15克。外用：捣敷；或研末调敷。主治感冒，咳嗽，百日咳，外障目翳，水火烫伤。,全草含有甘油酯类：棕榈酸-1-甘油脂；三萜类：齐墩果酸；黄酮类：刺槐素鼠李糖苷；环烯醚萜苷；甾醇类：豆甾醇，胡萝卜苷；脂肪醇类；三十二烷醇；脂肪酸类：三十四烷酸。,①治外感风寒咳嗽：六月寒15克，五匹风、肺经草、风寒草、兔耳风各9克。水煎服。(《万县中草药》),有强心作用。,尚不明确。
六神曲,六神曲 liushenqu,神曲、六曲。,Massa Medicata Fermentata,辣蓼、青蒿、杏仁等药加入面粉或麸皮混合后，经发酵制成的曲剂。,,,原产福建，现全国各地均有。,将鲜辣蓼草、青蒿、苍耳草各7公斤，切碎打汁，赤豆、杏仁(去皮)各4公斤，轧成粉末，取麸皮60公斤、面粉40公斤，以麸皮和大部分面粉与上药混合和匀，余些面粉与沸水打成糨糊状，倾入混合的药料中，用木棒搅拌均匀，至粘成饼状，移置木板上压平约1厘米厚，用刀切成3厘米的见方小块，晒0.5～1天，收起堆置大竹匾内，上盖麻袋、草包或稻麦秆，使其发酵，待其表面生出菌丝，取出晒干即成。,本品呈方形或长方形的块状，直径约3厘米，厚约1厘米，外表土黄色，粗糙。质硬脆，易断，断面不平整，类白色，可见未被粉碎的褐色残渣及发酵后的空隙。具陈腐气，味苦。以身干、陈久、无虫蛀、杂质少者为佳。,性温，味甘、辛。归脾经、胃经。,消食化积，健脾和胃。属消食药。,内服：煎汤，10～15克，或入丸、散。主治饮食停滞，消化不良，脘腹胀满，食欲不振，呕吐泻痢。,神曲为酵母制剂，含酵母菌、淀粉酶、维生素B复合体、麦角固醇、蛋白质、脂肪、挥发油等。,①治食积心痛：陈神曲一块，烧红，淬酒二大碗服之。(《摘玄方》),具有B族维生素样作用，如增进食欲、维持正常消化功能等。,脾阴不足、胃火盛及孕妇慎服。
六棱菊,六棱菊 liulengju,六耳棱、鹿耳翎、鹿耳苓、绿耳棱、六耳铃、羊耳三稔、蜡达草、六十瓣、羊毛草。,Laggerae Alatae Herba。,菊科植物六棱菊Laggta alatae(Rorb)Sch.-Bip.的干燥地上部分。,,多年生草本，高40～100厘米。根状茎粗短茎直立，多分枝，4～6棱，棱上具有绿色的类似耳朵状的翅，全株密被淡黄色短腺毛。叶互生，质较硬，椭圆状倒披针形或椭圆形，长2.5～10厘米，上部叶较小，线状披针形，顶端钝或急尖，基部渐窄，下延贴茎呈翅状，密被短腺毛，头状花序直径1～1.5厘米，顶生或腋生，再排成网锥花序状，果时稍下垂；总苞钟状；总苞片多层，线状披针形，质较硬，被短腺毛，外层的较短；花杂性，缘花数层为雌花，紫色，舌状，舌片线形，顶端3～4齿裂，开花后伸出花冠；盘花为两性花，管状，顶端5裂；雄蕊5枚，花药基部箭形。瘦果网柱状，长约1毫米，被柔毛，具10棱，冠毛白色，易脱落，花期9～11月。,分布于我省各地及我国东部、南部和西南部各省区印度、东南亚及非洲亦有分布。生于海拔180～440米的山坡草地、灌丛或河沟边，山野路旁、田埂。,夏、秋季采收，洗净，拣除杂质，切段，晒干备用。,六棱菊药材长短不一，老茎粗壮，直径4～10毫米，灰棕色，有不规则纵皱纹。枝条黄棕色，有皱纹及黄色腺毛。茎枝具翅4～6条，灰绿色至黄棕色，被有短腺毛。质坚而脆，断面中心有髓。叶互生，多破碎，灰绿色至棕黄色，被黄色的短腺毛。气香，味微苦、辛。以茎枝幼嫩、末开花、叶多、绿黄色者为佳。,性微温，味辛、苦。归膀胱经、脾经、肺经。,祛风除湿，活血解毒。属祛风湿药下分类的祛风湿散寒药。,内服：煎汤，用量10～15克。外用适量，煎水洗患处。主治感冒发热，风湿痹痛，水肿，泄泻，经闭，跌打损伤，痈疖肿毒，瘰疬，湿疹瘙痒，水火烫伤，蛇虫咬伤。,全草含黄酮苷、酚类、有机酸、挥发油、氨基酸及糖类等。挥发油主要为单萜或倍半萜。油中成分因植物生长地区而异，其中有桉醇、杜松醇、榄香醇、橙花叔醇、葎草烯、β-石竹烯等。,①肾炎水肿：马蹄金60克，六棱菊30克，猫须草15克。,抗炎作用：六棱菊总黄酮在50～200mg/kg剂量下对二甲苯致小鼠耳肿胀、甲醛敛大鼠足跖肿胀、羧甲基纤维素钠致大鼠皮下气囊白细胞游走和角叉菜胶致大鼠皮下气囊肿4个模型均具有抑制作用，且其抗炎作用与2.5mg/kg剂量地塞米松接近。,尚不明确。
柳枝,柳枝 liuzhi,杨柳条、柳条。,Caulis Parthenocissi Tricuspidatae,杨柳科植物垂柳Salix babylonica L.的干燥枝条。,,乔木，高可达18米。树冠开展而疏散。树皮灰黑色，不规则开裂；枝细，下垂，无毛。芽线形，先端急尖。叶狭披针形，长9～16厘米，宽0.5～1.5厘米，先端长渐尖，基部楔形，边缘具锯齿；叶柄长5～10毫米，有短柔毛。花序先叶或与叶同时开放；雄花序长1.5～3厘米，有短梗，轴有毛；雄蕊2，花药红黄色；苞片披针形，外面有毛；腺体2；雌花序长达2～5厘米，有梗，基部有3～4小叶，轴有毛；子房椭圆形，无柄或近无柄，花柱短，柱头2～4深裂；苞片披针形，外面有毛；腺体1。蒴果长3～4毫米，花期3～4月，果期4～5月。,产于全国大部分地区。,春季摘取嫩树枝条，鲜用或晒干。,本品呈圆柱形，直径5～10毫米，表面微有纵皱纹，黄色。节间长0.5～5厘米，上有交叉排列的芽或残留的三角形瘢痕。质脆易断，断面不平坦，皮部薄而浅棕色，木部宽而黄白色，中央有黄白色髓部。气微，味微苦、涩。,性寒，味苦。归胃经、肝经。,祛风利湿，解毒消肿。属利水渗湿药下分类的利水消肿药。,内服：煎汤，15～30克。外用：适量，煎水含漱；或熏洗。主治风湿痹痛，小便淋浊，黄疸，风疹痛痒，疔疮，丹毒，龋齿，眼肿。,含水杨苷等成分。,①治小便淋浊不清：柳枝一握，甘草9克。煎汤饮之。(《肘后方》),有局部麻醉作用。,尚不明确。
硫黄,硫黄 liuhuang,石硫黄、天生黄、黄硇砂、昆仑黄、将军、硫黄花、硫黄粉。,Sulfur。,硫族自然硫Sulfur或含硫矿物加工制得。,,,主产于山西、河南、山东、湖北、湖南、江苏、四川、广东、台湾等地。,全年可采。挖取呈泥块状的硫黄矿石，在坑内用素烧罐加热熔化，取其上层之硫黄溶液，倒入模型内，冷却后，取出，打成碎块。,不规则的块状，大小不一。黄色或略呈绿黄色，表面不平坦，常有麻纹及细砂孔。有光泽。体轻，质脆易碎。断面常呈粗针状结晶形。有特异臭气，味淡。燃之易熔融，发蓝色火焰，并放出刺激性的二氧化硫臭气。,性温，味酸，有毒。归肾经、大肠经。,解毒、杀虫、疗疮、助阳通便。外用属杀虫止痒药，内服属补虚药下属分类的补阳药。,外用适量，研末油调涂敷；内服1.5～3克，炮制后人丸、散。外治用于疥癣、秃疮、阴疽恶疮；内服用治阳痿足冷、虚喘冷哮、虚寒便秘。,硫黄主含硫。常含钛、硒元素。,①治带下：硫黄15克，为末，乌梅肉9克。捣丸如黄豆大。每五丸，空心酒下。(《种杏仙方》),硫黄对大鼠甲醛性关节炎有明显治疗作用;对皮肤真菌和霉菌有杀灭作用，内服可因变为硫化物或硫化氢而导致泻下，对二氧化硫刺激大鼠造成的实验性支气管炎有一定的镇咳消炎作用，对氯丙嗪及硫贲妥钠的中枢抑制作用有明显增强作用。,硫黄大热有毒，内服宜用制品，不宜多服、久服，孕妇慎用。不宜与芒硝、玄明粉同用。
刘寄奴,刘寄奴 liujinu,金寄奴、白花尾、炭炭包、六月雪、苦连婆。,Diverse Wormwood Herb,菊科植物奇蒿Artemisia anomalaS.Moore的地上部分。,,多年生草本，高60～120厘米，有根茎。茎直立，有细棱，疏被毛。单叶互生，叶卵状披针形，长7～11厘米，宽3～4厘米，先端渐尖，基部渐窄成短柄，边缘有尖锯齿，叶背有蛛丝状微毛。头状花序钟形，几无梗，密集在花枝上呈穗状，总苞片3～4层，全为管状花，白色，外层花雌性，中央花两性。瘦果长圆形，具纵棱。花期7～9月，果期9～10月。,生于山坡、路边及林缘。分布于华东、中南、西南等地。,8月开花时连根拔起，晒干。,长60～90厘米，茎圆柱形，直径2～4毫米，常折弯；表面棕黄色或棕绿色，被白色茸毛，具细纵棱；质坚，折断面纤维性，黄白色，中央具白色而疏松的髓。叶互生，通常干枯皱缩或脱落，展开后叶片为长卵圆形，长6～10厘米，宽3~4厘米，叶缘有缺刻，上面棕绿色，下面灰绿色，密被白毛，质脆易破碎或脱落。枝稍带花穗，头状花集成穗状圆锥花序，枯黄色。气芳香，味淡。,性温，味辛、微苦。归心经、肝经、脾经。,活血通经、消积、止痛。属活血化瘀药下分类的活血调经药。,用量3～10克。用治血滞经闭、痛经、产后瘀滞腹痛；跌打损伤、血瘀肿痛；食积泻痢、痔疮、便血。此外，现尚用治肝硬化腹水、泌尿系结石、前列腺肥大、小便不利或点滴不通。,含香豆精、异泽兰素、西米杜鹃素、脱肠草素、奇蒿内酯、奇蒿黄酮、橙黄胡椒酰胺乙酸酯、东莨菪素、棕榈酸、反式邻羟基桂皮酸、反式邻羟基对甲氧基桂皮酸、小麦黄素、环己六醇单甲醚、伞形花内酯、三裂鼠尾草素、瑞诺木烯内酯、狭叶墨西哥蒿素及其他内酯。,①治痔疾：刘寄奴、五味子，等分，研为细末。空心酒下。仍用其末敷乳上，遂愈。(《朱氏集验方》刘寄奴汤),有抗缺氧作用，溶液有增加离体豚鼠冠状动脉灌流量的作用，有毒性。,气血虚弱、脾虚作泄者慎服，孕妇禁服。
羚羊角,羚羊角 lingyangjiao,泠角、九尾羊角、角、羱羊角。,Saigae Tataricae Cornu。,牛科动物赛加羚羊Saiga tatarica Linnaeus的角。,,身体大小与黄羊相似。头形比较特别，耳廓短小，眼眶突出。鼻端大，鼻中间具槽，鼻孔呈明显的筒状，整个鼻子呈肿胀状鼓起。雄羊具角一对，不分叉。角自基部长出后几竖直向上，至生长到整个角长1/3高度时，二角略向外斜，接着又往上、往里靠近再又微微往外，最后二角尖相向略往内弯。角尖端平滑，而下半段具环棱。角呈半透明状，蜡黄色。整个体色呈现灰黄色，但体侧较灰白，冬季时毛色更淡。,性喜干旱，栖息于荒漠及半荒漠的开阔地区。冬季为避风雪，往往迁往比较平缓的山间坡地或平原过冬。仅分布于新疆北部。,全年均可捕捉，捕得后，将角从基部锯下，晒干。一般以8～10月采收者质好色佳。野生赛加羚羊为国家一级保护动物，严禁捕猎。,长圆锥形，略呈弓状弯曲。类白色或黄白色，基部稍显青灰色；嫩枝全体光润如玉，无裂纹，对光透视有“血丝”或紫黑色斑纹，老枝有细裂纹；除顶端外，有10～16个隆起环脊，间距约2厘米。基部锯口类圆形，内有坚硬的骨塞，习称“羚羊塞”。除去骨塞后，对光透视，无骨塞部分的中心有一条细孔直通角尖，习称“通天眼”。质坚硬，断面角质。气微，味淡。,性寒，味咸。归肝经、心经。,平肝息风、清肝明目、散血解毒。属平肝息风药下属分类的息风止痉药。,用量1～3克，宜单煎2小时以上，或磨汁、研粉服，每次0.3～0.6克。用治高热惊痫、神昏痉厥、子痫抽搐、癫痫发狂、头痛眩晕、目赤翳障、湿毒发斑、痈肿疮毒。,主要含角蛋白、磷酸钙、不溶性无机盐、多种氨基酸，并含五种磷脂类成分。,①治中风，心烦，恍惚、腹中痛或时闷绝：羚羊角屑，微炒，捣罗为散，温酒服3克。(《简易普济良方》),解热镇痛，镇静、抗惊厥;具有兴奋胃肠及子宫平滑肌作用，降低血压，增加耐缺氧能力。,脾虚慢惊禁服。
